name_key,Y_t1,Y_t2,delta_Y,dose,NAME
methow valley,0.9427083333333334,0.9360465116279,-0.006661821705433391,5730.392156862745,Methow Valley School District
monroe,0.8107844198870758,0.8294865149307111,0.018702095043635292,3681.9868683985155,Monroe School District
montesano,0.921676520342716,0.8793954826576719,-0.0422810376850441,3243.4971098265896,Montesano School District
morton,0.8220146520146476,0.8183892322954782,-0.0036254197191694093,3219.435736677116,Morton School District
moses lake,0.7639907107992155,0.8050988041019533,0.04110809330273779,2690.1274264618314,Moses Lake School District
mossyrock,0.8938181475193291,0.8805656709340879,-0.013252476585241202,3396.116504854369,Mossyrock School District
mount adams,0.7296936671571255,0.7183325714430493,-0.011361095714076175,790.5263157894736,Mount Adams School District
mount baker,0.7404460543851052,0.7151711899991915,-0.025274864385913753,3891.87790998448,Mount Baker School District
mount vernon,0.7063491827563838,0.7738447589689601,0.06749557621257629,3707.1228432384605,Mount Vernon School District
mukilteo,0.8379218284672865,0.8736628831752209,0.03574105470793443,4162.846724833963,Mukilteo School District
naches valley,0.9056684461442882,0.9245264769891675,0.018858030844879248,3505.21609538003,Naches Valley School District
napavine,0.9196271751504272,0.9326914828431325,0.01306430769270528,2032.6223337515685,Napavine School District
newport,0.8403288721557389,0.8608484100694863,0.020519537913747388,2413.8248847926266,Newport School District
nine mile falls,0.946879075832235,0.9443760312491138,-0.0025030445831211168,3476.190476190476,Nine Mile Falls School District
nooksack valley,0.8143737972407264,0.8146775656044394,0.0003037683637129307,3750.0,Nooksack Valley School District
north beach,0.7865799828828,0.852960297383216,0.06638031450041604,4692.878338278932,North Beach School District
north franklin,0.8693114308621263,0.9448046796756986,0.07549324881357233,1925.7332071901608,North Franklin School District
north kitsap,0.8550390661384368,0.8971735995868586,0.042134533448421774,4893.894874306236,North Kitsap School District
north mason,0.7465035391111063,0.7850544478558648,0.038550908744758416,4093.8794293603314,North Mason School District
north thurston,0.8434296615523746,0.8863590481060317,0.04292938655365708,4009.8026050758695,North Thurston Public Schools
northshore,0.9150100773737198,0.9306070763439528,0.015596998970233034,5519.621991527396,Northshore School District
oak harbor,0.8953481661415984,0.8993817743819925,0.004033608240394115,2757.5499061593587,Oak Harbor School District
oakville,0.7539097744360895,0.7806250000000001,0.026715225563910594,2039.647577092511,Oakville School District
ocean beach,0.8216448131012912,0.819100223809244,-0.0025445892920472613,6542.96875,Ocean Beach School District
ocosta,0.8227912076219206,0.8406880375581525,0.017896829936231873,5758.677685950413,Ocosta School District
okanogan,0.895982142857139,0.8783100589727783,-0.0176720838843607,1913.7466307277627,Okanogan School District
olympia,0.9038957880662568,0.9158468135714337,0.011951025505176904,4609.25295413579,Olympia School District
omak,0.8594633433935673,0.837643422400767,-0.02181992099280039,597.7478309027136,Omak School District
onalaska,0.8954499279726789,0.9370631488461016,0.041613220873422785,1844.7368421052631,Onalaska School District
orcas island,0.89,0.8671428571428572,-0.022857142857142798,5162.5148279952555,Orcas Island School District
oroville,0.8568128891147069,0.8379667505570872,-0.01884613855761963,3263.157894736842,Oroville School District
